smiles,pKa,n_candidates,chosen,chosen_kind,has_acid_and_base,chosen_plausible,alt_site_fits,n_atoms,size_bin
C(Nc1ccccc1)=[NH+]c1ccccc1,6.3,2,amidine,base,False,False,aniline_sec,15,<15
C/C(=C(\CCO)SSCCC(C)C)N(C=O)Cc1cnc(C)nc1N,5.58,2,pyridine_N,base,False,True,aniline,25,22-30
C/C(=C/Cl)C(=O)[O-],3.05,1,carboxylic_acid,acid,False,True,,7,<15
C/C(=C\Cl)C(=O)[O-],4.03,1,carboxylic_acid,acid,False,True,,7,<15
C/C(=C\c1ccccc1)CC(=O)[O-],5.35,1,carboxylic_acid,acid,False,True,,13,<15
C/C(N)=N/[NH+](C)C,10.0,2,amidine,base,False,True,tert_amine,7,<15
C/C(N)=[NH+]/O,5.9,2,oxime,acid,True,False,,5,<15
C/C=C(/C)C(=O)[O-],4.3,1,carboxylic_acid,acid,False,True,,7,<15
C/C=C(\Cl)C(=O)[O-],3.22,1,carboxylic_acid,acid,False,True,,7,<15
C/C=C/C#CC(=O)[O-],2.67,1,carboxylic_acid,acid,False,True,,8,<15
C/C=C/C(=O)[O-],4.79,1,carboxylic_acid,acid,False,True,,6,<15
C/C=C/C=C/C(=O)[O-],4.53,1,carboxylic_acid,acid,False,True,,8,<15
C/C=C/CC(=O)[O-],4.28,1,carboxylic_acid,acid,False,True,,7,<15
C/C=C/CCC(=O)[O-],4.72,1,carboxylic_acid,acid,False,True,,8,<15
C/C=C/CN(C1=[NH+]CCN1)c1c(Br)cccc1Br,11.0,3,guanidine,base,False,True,amidine,18,15-22
C/C=C/COc1noc2c1C[NH2+]CC2,7.7,2,sec_amine,base,False,True,pyridine_N,14,<15
C/C=C1/C[NH+]2[C@@H]3C[C@H]1C1[C@@H](O)[C@]4(C[C@@H]12)c1ccccc1N(C)[C@@H]34,8.5,2,tert_amine,base,False,True,,23,22-30
C/C=C\C=C/C(=O)[O-],4.51,1,carboxylic_acid,acid,False,True,,8,<15
C/N=C(\NC#N)Nc1cccc(-c2csc([NH+]=C(N)N)n2)c1,6.2,4,guanidine,base,False,False,pyridine_N,22,15-22
C1=C(c2ccccc2)C2CC[NH+]1CC2,9.1,1,tert_amine,base,False,True,,14,<15
C1=C(c2ccco2)C2CC[NH+]1CC2,8.92,1,tert_amine,base,False,True,,13,<15
C1=C(c2nc3ccccc3o2)C2CC[NH+]1CC2,7.23,2,tert_amine,base,False,True,pyridine_N,17,15-22
C1=C(c2nc3ccccc3s2)C2CC[NH+]1CC2,7.4,2,tert_amine,base,False,True,pyridine_N,17,15-22
C1=C[NH+]2CCC1CC2,9.82,1,tert_amine,base,False,True,,8,<15
C1=NC(c2ccccc2)[NH2+]C1,6.48,1,sec_amine,base,False,False,,11,<15
C1=NC[NH2+]C1,6.99,1,sec_amine,base,False,False,,5,<15
C1CC2CC1NN2,7.94,1,sec_amine,base,False,True,,7,<15
C1CC2CCC1C[NH2+]2,11.0,1,sec_amine,base,False,True,,8,<15
C1CC2CCC[NH+]2C1,11.74,1,tert_amine,base,False,False,,8,<15
C1CCC(C2CCC[NH2+]2)CC1,10.8,1,sec_amine,base,False,True,,11,<15
C1CCC([NH+]2CCCC2)CC1,10.7,1,tert_amine,base,False,True,,11,<15
C1CCC2C[NH2+]CCC2C1,10.95,1,sec_amine,base,False,True,,10,<15
C1CCC2[NH2+]CCCC2C1,10.9,1,sec_amine,base,False,True,,10,<15
C1CCC[NH2+]CC1,10.94,1,sec_amine,base,False,True,,7,<15
C1CCC[NH2+]CCC1,10.78,1,sec_amine,base,False,True,,8,<15
C1CCN(N2CCCC2)C1,7.16,1,tert_amine,base,False,True,,10,<15
C1CCN(N2CCCCC2)CC1,7.09,1,tert_amine,base,False,True,,12,<15
C1CCN2CCCCN2C1,6.79,1,tert_amine,base,False,True,,10,<15
C1CC[NH2+]C1,11.285,1,sec_amine,base,False,True,,5,<15
C1CC[NH2+]CC1,11.18,1,sec_amine,base,False,True,,6,<15
C1CN2CCCN2C1,7.95,1,tert_amine,base,False,True,,8,<15
C1COC(NC(C2CC2)C2CC2)=[NH+]1,9.26,1,amidine,base,False,True,,13,<15
C1COCCOCc2n[nH]c(n2)COCCOCCO1,9.55,1,pyridine_N,base,False,False,,20,15-22
C1COCC[NH2+]1,8.4825,1,sec_amine,base,False,True,,6,<15
C1CSCC[NH2+]1,9.05,1,sec_amine,base,False,True,,6,<15
C1CSC[NH2+]1,6.31,1,sec_amine,base,False,False,,5,<15
C1C[NH+](CC2CO2)CCO1,5.88,1,tert_amine,base,False,False,,10,<15
C1C[NH+]2CCC1CC2,11.04,1,tert_amine,base,False,True,,8,<15
C1C[NH+]2CC[C@@H]3OC[C@H]1[C@@H]32,9.44,1,tert_amine,base,False,True,,10,<15
C1C[NH+]=C2NCCC2C1,11.7,1,amidine,base,False,True,,9,<15
C1C[NH2+]1,6.05,1,sec_amine,base,False,False,,3,<15
C1C[NH2+]C1,10.995,1,sec_amine,base,False,True,,4,<15
C1OC1C[NH+](CC1CO1)CC1CO1,5.01,1,tert_amine,base,False,False,,13,<15
C=C(Br)COc1noc2c1C[NH2+]CC2,7.6,2,sec_amine,base,False,True,pyridine_N,14,<15
C=C(C(=O)O[C@H]1C[C@@H]2[C@@H]3O[C@@H]3[C@H](C1)[NH+]2C)c1ccccc1,7.72,1,tert_amine,base,False,True,,21,15-22
C=C(C)C(=O)NC(C)(C)CC[NH+](C)C,9.37,1,tert_amine,base,False,True,,14,<15
C=C(C)C(=O)NC(C)C[NH+](C)C,8.51,1,tert_amine,base,False,True,,12,<15
C=C(C)C(=O)NCCC[NH+](C)C,9.25,1,tert_amine,base,False,True,,12,<15
C=C(C)C(=O)NCC[NH+](C)C,8.54,1,tert_amine,base,False,True,,11,<15
C=C(C)C(=O)NCC[NH+](CC)CC,9.37,1,tert_amine,base,False,True,,13,<15
C=C(C)C(=O)OC(C)C[NH+](C)C,7.96,1,tert_amine,base,False,True,,12,<15
C=C(C)C(=O)OC(C)C[NH+](CC)CC,8.65,1,tert_amine,base,False,True,,14,<15
C=C(C)C(=O)OCCC[NH3+],9.62,1,prim_amine,base,False,True,,10,<15
C=C(C)C(=O)OCC[NH+](C(C)C)C(C)C,8.77,1,tert_amine,base,False,True,,15,<15
C=C(C)C(=O)OCC[NH+](C)C,8.06,1,tert_amine,base,False,True,,11,<15
C=C(C)C(=O)OCC[NH+](C)CCCC,8.27,1,tert_amine,base,False,True,,14,<15
C=C(C)C(=O)OCC[NH+](CC)CC,8.66,1,tert_amine,base,False,True,,13,<15
C=C(C)C(=O)OCC[NH2+]C,8.96,1,sec_amine,base,False,True,,10,<15
C=C(C)C(=O)OCC[NH2+]C(C)C,9.13,1,sec_amine,base,False,True,,12,<15
C=C(C)C(=O)OCC[NH2+]CC,9.15,1,sec_amine,base,False,True,,11,<15
C=C(C)C(=O)OCC[NH2+]CC(C)C,8.91,1,sec_amine,base,False,True,,13,<15
C=C(C)C(=O)OCC[NH2+]CCCC,9.12,1,sec_amine,base,False,True,,13,<15
C=C(C)C(=O)OCC[NH3+],8.7,1,prim_amine,base,False,True,,9,<15
C=C(C)C(=O)[O-],4.66,1,carboxylic_acid,acid,False,True,,6,<15
C=C(C)C(C)(C(N)=O)C(=O)[O-],3.42,1,carboxylic_acid,acid,False,True,,11,<15
C=C(C)C([NH3+])O,8.0,1,prim_amine,base,False,True,,6,<15
C=C(C)CCN(C1=[NH+]CCN1)c1c(Br)cccc1Br,10.9,3,guanidine,base,False,True,amidine,19,15-22
C=C(C)CN(C1=[NH+]CCN1)c1c(Br)cccc1Br,10.71,3,guanidine,base,False,True,amidine,18,15-22
C=C(C)[C@@H]1CN(C(C)=O)[C@H](C(=O)OC)[C@@H]1CC(=O)[O-],4.6,1,carboxylic_acid,acid,False,True,,19,15-22
C=C(C)[C@H]1C[NH2+][C@H](C(=O)[O-])[C@H]1CC(=O)OC,9.52,2,carboxylic_acid,acid,True,False,sec_amine,16,15-22
C=C(C)[C@H]1C[NH2+][C@H](C(=O)[O-])[C@H]1CC(N)=O,9.47,2,carboxylic_acid,acid,True,False,sec_amine,15,<15
C=C(CC)C(=O)c1ccc(OCC(=O)[O-])c(Cl)c1Cl,3.5,1,carboxylic_acid,acid,False,True,,19,15-22
C=C(CCCC)C(=O)[O-],4.8,1,carboxylic_acid,acid,False,True,,9,<15
C=C(F)C(=O)[O-],2.55,1,carboxylic_acid,acid,False,True,,6,<15
C=C(F)CN(CC)C(=O)[C@@]1(c2cccs2)C[C@H]1C[NH3+],9.4,1,prim_amine,base,False,True,,19,15-22
C=C(OC)C(=O)[O-],3.38,1,carboxylic_acid,acid,False,True,,7,<15
C=C(SC1CCCCC1)C(=O)[O-],3.4,1,carboxylic_acid,acid,False,True,,12,<15
C=C1[C@@H]2CC3C4[NH+]5C[C@]6(C)C[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@]47C6[C@@H]5C[C@]3([C@H]1OC(C)=O)[C@@]7(O)C2,8.35,1,tert_amine,base,False,True,,34,>30
C=C=CC(=O)[O-],3.96,1,carboxylic_acid,acid,False,True,,6,<15
C=CC#CCC(=O)[O-],3.41,1,carboxylic_acid,acid,False,True,,8,<15
C=CC(=O)NC(C)(C)CC[NH+](C)C,9.39,1,tert_amine,base,False,True,,13,<15
C=CC(=O)NC(C)(C)CC[NH+](CC)CC,10.09,1,tert_amine,base,False,True,,15,<15
C=CC(=O)NCCC[NH+](C)C,9.23,1,tert_amine,base,False,True,,11,<15
C=CC(=O)Nc1cc(Nc2ncc(Cl)c(-c3cnn4ccccc34)n2)c(OC)cc1N(C)CC[NH+](C)C,9.0,4,tert_amine,base,False,True,,37,>30
C=CC(=O)Nc1cc(Nc2ncc(Cl)c(-c3cnn4ccccc34)n2)c(OC)cc1N1CC([NH+](C)C)C1,7.2,4,tert_amine,base,False,True,pyridine_N,37,>30
C=CC(=O)Nc1cc(Nc2ncc(Cl)c(-c3cnn4ccccc34)n2)c(OC)cc1N1CC[C@@H]([NH+](C)C)C1,8.1,4,tert_amine,base,False,True,,38,>30
C=CC(=O)OCC[NH+](C)C,8.25,1,tert_amine,base,False,True,,10,<15
C=CC(=O)OCC[NH+](CC)CC,8.55,1,tert_amine,base,False,True,,12,<15
C=CC(=O)[O-],4.25,1,carboxylic_acid,acid,False,True,,5,<15
C=CC(C)(C)Nc1ccccc1,4.88,1,aniline_sec,base,False,True,,12,<15
C=CC(C)(C)OCC(O)C[NH2+]C(C)(C)C,9.67,1,sec_amine,base,False,True,,15,<15
C=CC(C)(C)[NH+](C)C(C)(C)C,11.3,1,tert_amine,base,False,True,,11,<15
C=CC(C)(C)[NH2+]C(C)(C)C=C,10.1,1,sec_amine,base,False,True,,11,<15
C=CC(C)(C)[NH2+]C(C)(C)CC,10.8,1,sec_amine,base,False,True,,11,<15
C=CC(C)(CC)[NH+](C)C(C)C,11.3,1,tert_amine,base,False,True,,11,<15
C=CC(C)Nc1ccccc1,4.57,1,aniline_sec,base,False,True,,11,<15
C=CC(Cl)C(=O)[O-],2.54,1,carboxylic_acid,acid,False,True,,7,<15
C=CC12CCC(=O)C=C1c1c(cc(OCC(=O)[O-])c(Cl)c1Cl)C2,3.5,1,carboxylic_acid,acid,False,True,,23,22-30
C=CC1C[NH+]2CCC1C[C@H]2C(=O)[O-],10.6,2,carboxylic_acid,acid,True,False,tert_amine,13,<15
C=CCC(=O)[O-],4.33,1,carboxylic_acid,acid,False,True,,6,<15
C=CCC(C)(C[NH+](CC)CC)OC(=O)CC(C)C,8.1,1,tert_amine,base,False,True,,18,15-22
C=CCC(C)(C[NH+](CC)CC)OC(=O)CCC,8.5,1,tert_amine,base,False,True,,17,15-22
C=CCC(C)(C[NH+](CC)CC)OC(=O)c1ccccc1,7.8,1,tert_amine,base,False,True,,20,15-22
C=CCC(C)(C[NH+](CC)CC)OC(C)=O,9.85,1,tert_amine,base,False,True,,15,<15
C=CCC(C)(O)C[NH+](CC)CC,9.71,1,tert_amine,base,False,True,,12,<15
C=CCC1(C(C)C#CCC)C(=O)NC(=O)N(C)C1=O,4.74,1,imide,acid,False,False,,19,15-22
C=CCC1(CC=C)SC(=O)[N-]C1=O,6.1,1,imide,acid,False,True,,13,<15
C=CCCC(=O)[O-],4.68,1,carboxylic_acid,acid,False,True,,7,<15
C=CCCN(C1=[NH+]CCN1)c1c(Br)cccc1Br,11.2,3,guanidine,base,False,True,amidine,18,15-22
C=CCN(C1=[NH+]CCN1)c1c(Br)cccc1Br,10.7,3,guanidine,base,False,True,amidine,17,15-22
C=CCN(C1=[NH+]CCN1)c1c(Cl)cccc1Cl,10.42,3,guanidine,base,False,True,amidine,17,15-22
C=CCN(CC)C(=O)[C@@]1(c2ccsc2)C[C@H]1C[NH3+],9.5,1,prim_amine,base,False,True,,18,15-22
C=CCN(CC=C)C(=O)[C@@]1(c2cccs2)C[C@H]1C[NH3+],9.4,1,prim_amine,base,False,True,,19,15-22
C=CCNC(=O)c1ccc(-c2ccc(-c3ccccc3)n2Cc2cccc(N)n2)cc1,6.86,2,pyridine_N,base,False,True,,31,>30
C=CCNc1ccccc1,4.17,1,aniline_sec,base,False,True,,10,<15
C=CCOc1ccc(C(=O)[O-])cc1,4.45,1,carboxylic_acid,acid,False,True,,13,<15
C=CCOc1ccccc1OCC(O)C[NH2+]C(C)C,9.523333,1,sec_amine,base,False,True,,19,15-22
C=CCOc1nc(N)nc(N)n1,3.43,2,pyridine_N,base,False,True,aniline,12,<15
C=CCOc1noc2c1C[NH2+]CC2,7.5,2,sec_amine,base,False,True,pyridine_N,13,<15
C=CCSS/C(CCO)=C(/C)N(C=O)Cc1cnc(C)nc1N,5.65,2,pyridine_N,base,False,True,aniline,23,22-30
C=CC[NH+](C)C,8.72,1,tert_amine,base,False,True,,6,<15
C=CC[NH+](C)CCCCCCOc1ccc(C(=O)c2ccc(Br)cc2)cc1,8.18,1,tert_amine,base,False,True,,27,22-30
C=CC[NH+](C)CCCNC(=O)CN=O,8.99,1,tert_amine,base,False,True,,14,<15
C=CC[NH+](C)CCOC(=O)C(=C)C,7.39,1,tert_amine,base,False,True,,13,<15
C=CC[NH+](CC(C)O)CC(C)O,8.2,1,tert_amine,base,False,True,,12,<15
C=CC[NH+](CC1CO1)CC1CO1,6.16,1,tert_amine,base,False,False,,12,<15
C=CC[NH+](CC=C)CC=C,8.31,1,tert_amine,base,False,True,,10,<15
C=CC[NH+](CC=C)CCCNC(=O)CN=O,8.74,1,tert_amine,base,False,True,,16,15-22
C=CC[NH+](CC=C)CCOC(=O)C(=C)C,7.02,1,tert_amine,base,False,True,,15,<15
C=CC[NH+]1CCCCC1,9.66,1,tert_amine,base,False,True,,9,<15
C=CC[NH+]1CCOCC1,7.05,1,tert_amine,base,False,True,,9,<15
C=CC[NH2+]CC=C,9.35,1,sec_amine,base,False,True,,7,<15
C=CC[NH3+],9.74,1,prim_amine,base,False,True,,4,<15
C=CCc1ccc(O)c(OC)c1,10.0,1,phenol,acid,False,True,,12,<15
C=CCc1ccccc1OCC(O)C[NH2+]C(C)C,9.527143,1,sec_amine,base,False,True,,18,15-22
C=CCn1c(C)c(C)c2cc(-n3ccccc3=O)nc(NCc3c(C)cccc3C)c21,4.0,2,pyridine_N,base,False,True,aniline_sec,31,>30
C=C[C@]1(O)C[C@@H](C)[NH2+][C@@H]2CCCC[C@H]21,9.98,1,sec_amine,base,False,True,,14,<15
C=C[C@]1(O)C[C@@H](C)[NH2+][C@H]2CCCC[C@@H]21,9.51,1,sec_amine,base,False,True,,14,<15
C=C[C@]1(O)C[C@H](C)[NH2+][C@@H]2CCCC[C@H]21,9.83,1,sec_amine,base,False,True,,14,<15
C=C[C@]1(O)C[NH+]2CC[C@H]1C[C@H]2[C@H](O)c1cc(=O)[nH]c2ccccc12,7.65,2,aromatic_lactam,acid,True,True,tert_amine,24,22-30
C=Cc1ccc(C)nc1,5.67,1,pyridine_N,base,False,True,,9,<15
C=Cc1ccc(O)cc1,9.91,1,phenol,acid,False,True,,9,<15
C=Cc1ccccn1,4.95,1,pyridine_N,base,False,True,,8,<15
C=Cc1cccnc1,4.87,1,pyridine_N,base,False,True,,8,<15
C=Cc1ccncc1,5.62,1,pyridine_N,base,False,True,,8,<15
C=Cc1noc(C2=CCC[NH2+]C2)n1,8.23,2,sec_amine,base,False,True,,13,<15
C=c1[nH]cc(C)c(=C[NH2+]CCCCCC)c1=O,4.805,1,sec_amine,base,False,False,,17,15-22
CC#C/C=C/C(=O)[O-],4.2,1,carboxylic_acid,acid,False,True,,8,<15
CC#CC#CCC(=O)[O-],3.23,1,carboxylic_acid,acid,False,True,,9,<15
CC#CC(=O)[O-],2.63,1,carboxylic_acid,acid,False,True,,6,<15
CC#CC(O)c1c(C)nc2c3c(c(C(=O)N(C)C)cn12)CCC(c1ccccc1)O3,5.58,1,pyridine_N,base,False,True,,30,22-30
CC#CCC(=O)[O-],3.6,1,carboxylic_acid,acid,False,True,,7,<15
CC#CCOc1noc2c1C[NH2+]CC2,7.6,2,sec_amine,base,False,True,pyridine_N,14,<15
CC#CCn1c(N2CCC[C@@H]([NH3+])C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C,8.6,3,prim_amine,base,False,True,,35,>30
CC#C[C@@H](CC(=O)[O-])c1ccc(OCc2ccc(CN3CCCc4cccc(OC)c43)s2)cc1,3.4,2,carboxylic_acid,acid,True,True,aniline_tert,34,>30
CC#C[C@@H](CC(=O)[O-])c1ccc(OCc2ccc(N3CCC4(CCc5ccccc54)CC3)s2)cc1,3.4,2,carboxylic_acid,acid,True,True,aniline_tert,35,>30
CC#C[C@@H](CC(=O)[O-])c1ccc(OCc2ccc3nc(-c4c(C)cccc4C)nn3c2)cc1,4.3,2,carboxylic_acid,acid,True,True,pyridine_N,33,>30
CC#C[C@H](C)Oc1cc(N)c(Cl)cc1C(=O)N[C@@H]1C[C@H]2CC[C@@H](C1)[NH+]2C,9.95,2,tert_amine,base,False,True,,26,22-30
CC(=C1c2ccccc2CC1CC[NH+](C)C)c1cnccn1,9.1,2,tert_amine,base,False,True,,22,15-22
CC(=O)/N=c1/sc(S(N)(=O)=O)nn1C,7.3,1,sulfonamide_1,acid,False,False,,14,<15
CC(=O)/N=c1\sc(S(N)(=O)=O)nn1C,7.3,1,sulfonamide_1,acid,False,False,,14,<15
CC(=O)/[NH+]=c1/c(-c2c(Cl)cccc2Cl)cc2cnc(C)nc2n1C,2.5,1,pyridine_N,base,False,True,,24,22-30
CC(=O)C(=O)[O-],2.39,1,carboxylic_acid,acid,False,True,,6,<15
CC(=O)C(C)C(C)(C)C(=O)[O-],5.79,1,carboxylic_acid,acid,False,True,,11,<15
CC(=O)C(CC[NH+]1CCOCC1)(c1ccccc1)c1ccccc1,6.83,1,tert_amine,base,False,True,,24,22-30
CC(=O)C(C[NH+]1CCCCC1)N=O,8.875,1,tert_amine,base,False,True,,13,<15
CC(=O)C(C[NH+]1CCOCC1)N=O,7.625,1,tert_amine,base,False,True,,13,<15
CC(=O)C(C[NH+]1CCOCC1)c1ccccc1,6.23,1,tert_amine,base,False,False,,17,15-22
