key,pKa,kind,prot_smi,prot_idx,dep_smi,dep_idx
C[NH+]1CCN(C2=c3ccccc3=[NH+]c3ccc(Cl)cc3N2)CC1,3.9,base,C[NH+]1CCN(C2=c3ccccc3=[NH+]c3ccc(Cl)cc3N2)CC1,1,CN1CCN(C2=c3ccccc3=[NH+]c3ccc(Cl)cc3N2)CC1,1
COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@@]341,8.1,base,COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)[N@@H+](C)CC[C@@]341,1,COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@@]341,1
CNCCCN1c2ccccc2CCc2ccccc21,10.3,base,C[NH2+]CCCN1c2ccccc2CCc2ccccc21,1,CNCCCN1c2ccccc2CCc2ccccc21,1
[NH-]C(N)=NCC[NH+]1CCCCCCC1,11.4,acid,NC(N)=NCC[NH+]1CCCCCCC1,12,[NH-]C(N)=NCC[NH+]1CCCCCCC1,13
NCCc1c[nH]cn1,9.7,base,[NH3+]CCc1c[nH]cn1,7,NCCc1c[nH]cn1,7
CC[C@H]1C[N@@]2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12,9.1,base,CC[C@H]1C[N@@H+]2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12,4,CC[C@H]1C[N@@]2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12,4
CC[C@H]1C[N@@H+]2CC[C@H]1C[C@H]2[C@H](O)c1cc[nH+]c2ccc(OC)cc12,4.1,base,CC[C@H]1C[N@@H+]2CC[C@H]1C[C@H]2[C@H](O)c1cc[nH+]c2ccc(OC)cc12,14,CC[C@H]1C[N@@H+]2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12,14
CN(C)CCCN1c2ccccc2CCc2ccccc21,9.6,base,C[NH+](C)CCCN1c2ccccc2CCc2ccccc21,1,CN(C)CCCN1c2ccccc2CCc2ccccc21,1
C[C@@H](CCc1ccccc1)NC[C@H](O)c1ccc(O)c(C(N)=O)c1,7.3,acid,C[C@@H](CCc1ccccc1)NC[C@H](O)c1ccc(O)c(C(N)=O)c1,22,C[C@@H](CCc1ccccc1)NC[C@H](O)c1ccc([O-])c(C(N)=O)c1,22
CCN(CC)CC(=O)Nc1c(C)cccc1C,7.9,base,CC[NH+](CC)CC(=O)Nc1c(C)cccc1C,2,CCN(CC)CC(=O)Nc1c(C)cccc1C,2
CNCCCC12CCC(c3ccccc31)c1ccccc12,10.3,base,C[NH2+]CCCC12CCC(c3ccccc31)c1ccccc12,1,CNCCCC12CCC(c3ccccc31)c1ccccc12,1
CN(CCCl)CCCl,6.4,base,C[NH+](CCCl)CCCl,1,CN(CCCl)CCCl,1
CC(C)NC[C@H](O)c1cc(O)cc(O)c1,9.9,acid,CC(C)NC[C@H](O)c1cc(O)cc(O)c1,13,CC(C)NC[C@H](O)c1cc([O-])cc(O)c1,12
COCCc1ccc(OC[C@H](O)CNC(C)C)cc1,9.6,base,COCCc1ccc(OC[C@H](O)C[NH2+]C(C)C)cc1,3,COCCc1ccc(OC[C@H](O)CNC(C)C)cc1,3
Clc1ccc(CO[C@H](Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,6.4,base,Clc1ccc(CO[C@H](Cn2cc[nH+]c2)c2ccc(Cl)cc2Cl)c(Cl)c1,15,Clc1ccc(CO[C@H](Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,15
CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5,8.2,base,C[N@H+]1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5,1,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5,1
CCN(CC)CCOC(=O)[C@@H](Cc1cccc2ccccc12)C[C@@H]1CCCO1,9.1,base,CC[NH+](CC)CCOC(=O)[C@@H](Cc1cccc2ccccc12)C[C@@H]1CCCO1,2,CCN(CC)CCOC(=O)[C@@H](Cc1cccc2ccccc12)C[C@@H]1CCCO1,2
CN1CCO[C@@H](c2ccccc2)c2ccccc2C1,8.5,base,C[N@H+]1CCO[C@@H](c2ccccc2)c2ccccc2C1,1,CN1CCO[C@@H](c2ccccc2)c2ccccc2C1,1
O=C(O)c1cccnc1,4.8,base,O=C(O)c1ccc[nH+]c1,4,O=C(O)c1cccnc1,4
CN1CCC[C@H]1c1cccnc1,8.1,base,C[N@@H+]1CCC[C@H]1c1cccnc1,1,CN1CCC[C@H]1c1cccnc1,1
C[N@@H+]1CCC[C@H]1c1ccc[nH+]c1,3.2,base,C[N@@H+]1CCC[C@H]1c1ccc[nH+]c1,10,C[N@@H+]1CCC[C@H]1c1cccnc1,10
CCN(CC)C(=O)c1cccnc1,3.5,base,CCN(CC)C(=O)c1ccc[nH+]c1,11,CCN(CC)C(=O)c1cccnc1,11
C[C@@H](N)Cc1ccc(Cl)cc1,9.9,base,C[C@@H]([NH3+])Cc1ccc(Cl)cc1,10,C[C@@H](N)Cc1ccc(Cl)cc1,10
CCOc1ccc(/N=C(\C)Nc2ccc(OCC)cc2)cc1,9.3,base,CCOc1ccc(N/C(C)=[NH+]/c2ccc(OCC)cc2)cc1,11,CCOc1ccc(/N=C(\C)Nc2ccc(OCC)cc2)cc1,11
[NH3+][C@H](Cc1ccccc1)C(=O)[O-],8.9,base,[NH3+][C@H](Cc1ccccc1)C(=O)[O-],11,N[C@H](Cc1ccccc1)C(=O)[O-],11
CN1C(C(=O)Nc2ccccn2)=C(O)c2ccccc2S1(=O)=O,5.3,base,CN1C(C(=O)Nc2cccc[nH+]2)=C(O)c2ccccc2S1(=O)=O,22,CN1C(C(=O)Nc2ccccn2)=C(O)c2ccccc2S1(=O)=O,22
CCN(CC)CCOC(=O)c1ccc(N)cc1,9.1,base,CC[NH+](CC)CCOC(=O)c1ccc(N)cc1,2,CCN(CC)CCOC(=O)c1ccc(N)cc1,2
CC[NH+](CC)CCOC(=O)c1ccc([NH3+])cc1,2.0,base,CC[NH+](CC)CCOC(=O)c1ccc([NH3+])cc1,16,CC[NH+](CC)CCOC(=O)c1ccc(N)cc1,16
CC(C)NC[C@@H](O)COc1cccc2ccccc12,9.6,base,CC(C)[NH2+]C[C@@H](O)COc1cccc2ccccc12,3,CC(C)NC[C@@H](O)COc1cccc2ccccc12,3
C=C[C@H]1C[N@]2CC[C@@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12,8.5,base,C=C[C@H]1C[N@H+]2CC[C@@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12,18,C=C[C@H]1C[N@]2CC[C@@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12,18
CC(C)[NH2+]C[C@H](O)c1ccc([N-]S(C)(=O)=O)cc1,9.3,base,CC(C)[NH2+]C[C@H](O)c1ccc([N-]S(C)(=O)=O)cc1,3,CC(C)NC[C@H](O)c1ccc([N-]S(C)(=O)=O)cc1,3
C1CCN2C[C@@H]3C[C@@H](CN4CCCC[C@@H]34)[C@H]2C1,12.0,base,C1CC[N@@H+]2C[C@@H]3C[C@@H](CN4CCCC[C@@H]34)[C@H]2C1,3,C1CCN2C[C@@H]3C[C@@H](CN4CCCC[C@@H]34)[C@H]2C1,3
CCCCNc1ccc(C(=O)OCCN(C)C)cc1,8.5,base,CCCCNc1ccc(C(=O)OCC[NH+](C)C)cc1,16,CCCCNc1ccc(C(=O)OCCN(C)C)cc1,16
CN(C)CCN(Cc1ccsc1)c1ccccn1,8.9,base,C[NH+](C)CCN(Cc1ccsc1)c1ccccn1,1,CN(C)CCN(Cc1ccsc1)c1ccccn1,1
O=c1n(CCCN2CCN(c3cccc(Cl)c3)CC2)nc2ccccn12,6.8,base,O=c1n(CCC[NH+]2CCN(c3cccc(Cl)c3)CC2)nc2ccccn12,13,O=c1n(CCCN2CCN(c3cccc(Cl)c3)CC2)nc2ccccn12,13
C[C@H](CN(C)C)CN1c2ccccc2CCc2ccccc21,9.4,base,C[C@@H](CN1c2ccccc2CCc2ccccc21)C[NH+](C)C,19,C[C@H](CN(C)C)CN1c2ccccc2CCc2ccccc21,19
[NH3+][C@H](Cc1c[nH]c2ccccc12)C(=O)[O-],9.1,base,[NH3+][C@H](Cc1c[nH]c2ccccc12)C(=O)[O-],14,N[C@H](Cc1c[nH]c2ccccc12)C(=O)[O-],14
CC(O)(C(F)(F)F)C(F)(F)F,9.6,acid,CC(O)(C(F)(F)F)C(F)(F)F,10,CC([O-])(C(F)(F)F)C(F)(F)F,10
CC(C)(O)C(F)(F)F,11.6,acid,CC(C)(O)C(F)(F)F,7,CC(C)([O-])C(F)(F)F,7
C[C@@H](O)C(F)(F)F,11.8,acid,C[C@@H](O)C(F)(F)F,6,C[C@@H]([O-])C(F)(F)F,6
O=C(NCCS)NCCS,9.26,acid,O=C(NCCS)NCCS,2,O=C(NCC[S-])NCCS,9
SCCCCS,9.88,acid,SCCCCS,5,[S-]CCCCS,3
FC(F)(F)CS,7.3,acid,FC(F)(F)CS,5,FC(F)(F)C[S-],5
OCC(F)(F)F,12.8,acid,OCC(F)(F)F,5,[O-]CC(F)(F)F,5
C[C@H](Oc1cc(Cl)c(Cl)cc1Cl)C(=O)O,2.84,acid,C[C@H](Oc1cc(Cl)c(Cl)cc1Cl)C(=O)O,4,C[C@H](Oc1cc(Cl)c(Cl)cc1Cl)C(=O)[O-],4
OCC(Cl)Cl,12.89,acid,OCC(Cl)Cl,4,[O-]CC(Cl)Cl,4
Oc1cc(Cl)c(Cl)c(Cl)c1Cl,6.35,acid,Oc1cc(Cl)c(Cl)c(Cl)c1Cl,10,[O-]c1cc(Cl)c(Cl)c(Cl)c1Cl,10
Oc1c(Cl)cc(Cl)c(Cl)c1Cl,5.22,acid,Oc1c(Cl)cc(Cl)c(Cl)c1Cl,9,[O-]c1c(Cl)cc(Cl)c(Cl)c1Cl,9
Oc1c(Cl)c(Cl)cc(Cl)c1Cl,5.14,acid,Oc1c(Cl)c(Cl)cc(Cl)c1Cl,8,[O-]c1c(Cl)c(Cl)cc(Cl)c1Cl,8
O=C(O)Cc1c(Cl)ccc(Cl)c1Cl,3.7,acid,O=C(O)Cc1c(Cl)ccc(Cl)c1Cl,10,O=C([O-])Cc1c(Cl)ccc(Cl)c1Cl,10
Oc1c(Cl)ccc(Cl)c1Cl,5.8,acid,Oc1c(Cl)ccc(Cl)c1Cl,7,[O-]c1c(Cl)ccc(Cl)c1Cl,7
O=C(O)CCCOc1ccc(Cl)cc1Cl,4.1,acid,O=C(O)CCCOc1ccc(Cl)cc1Cl,14,O=C([O-])CCCOc1ccc(Cl)cc1Cl,14
NCCS,8.3,acid,NCCS,2,NCC[S-],2
[NH3+]CC[S-],8.3,acid,[NH3+]CCS,2,[NH3+]CC[S-],2
Nc1ccccc1S,6.59,acid,Nc1ccccc1S,7,Nc1ccccc1[S-],7
N#Cc1ccccc1O,6.98,acid,N#Cc1ccccc1O,8,N#Cc1ccccc1[O-],8
O=[N+]([O-])c1cc(C2CCCCC2)c(O)c([N+](=O)[O-])c1,4.52,acid,O=[N+]([O-])c1cc(C2CCCCC2)c(O)c([N+](=O)[O-])c1,12,O=[N+]([O-])c1cc(C2CCCCC2)c([O-])c([N+](=O)[O-])c1,12
CCOCCS,9.38,acid,CCOCCS,5,CCOCC[S-],5
O=C(O)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,0.7,acid,O=C(O)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,8,O=C([O-])c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,8
CC(C)(S)CO,9.85,acid,CC(C)(S)CO,5,CC(C)([S-])CO,5
O=S(=O)(O)CCS,9.2,acid,O=S(=O)(O)CCS,6,O=S(=O)(O)CC[S-],6
O=S(=O)([O-])CCS,9.2,acid,O=S(=O)([O-])CCS,6,O=S(=O)([O-])CC[S-],6
O=c1[nH]cc(S)c(=O)[nH]1,5.3,acid,O=c1[nH]cc(S)c(=O)[nH]1,8,O=c1[nH]cc([S-])c(=O)[nH]1,8
O=c1[n-]c(=O)c(S)c[nH]1,5.3,acid,O=c1[n-]c(=O)c(S)c[nH]1,8,O=c1[n-]c(=O)c([S-])c[nH]1,8
CCC(C)(C)S,11.22,acid,CCC(C)(C)S,5,CCC(C)(C)[S-],5
SCc1ccccn1,8.82,acid,SCc1ccccn1,7,[S-]Cc1ccccn1,7
CC(C)S,10.86,acid,CC(C)S,3,CC(C)[S-],3
CC(C)c1cccc(O)c1,10.1,acid,CC(C)c1cccc(O)c1,9,CC(C)c1cccc([O-])c1,9
CC[C@@](C)(S)[C@H](N)C(=O)O,8.1,acid,CC[C@@](C)(S)[C@H](N)C(=O)O,9,CC[C@@](C)([S-])[C@H](N)C(=O)O,9
CC[C@@](C)(S)[C@H]([NH3+])C(=O)[O-],8.1,acid,CC[C@@](C)(S)[C@H]([NH3+])C(=O)[O-],9,CC[C@@](C)([S-])[C@H]([NH3+])C(=O)[O-],9
OC[C@H](O)CS,9.46,acid,OC[C@H](O)CS,3,OC[C@H](O)C[S-],3
OCCCS,10.19,acid,OCCCS,4,OCCC[S-],4
O=C(O)CCS,10.27,acid,O=C(O)CCS,2,O=C(O)CC[S-],2
O=C([O-])CCS,10.27,acid,O=C([O-])CCS,2,O=C([O-])CC[S-],2
O=[N+]([O-])c1cccc(S)c1,5.24,acid,O=[N+]([O-])c1cccc(S)c1,6,O=[N+]([O-])c1cccc([S-])c1,6
OCC#Cc1ccccc1,13.87,acid,OCC#Cc1ccccc1,9,[O-]CC#Cc1ccccc1,9
O=C(O)c1cccc(S)c1,6.2,acid,O=C(O)c1cccc(S)c1,6,O=C(O)c1cccc([S-])c1,6
O=C([O-])c1cccc(S)c1,6.2,acid,O=C([O-])c1cccc(S)c1,6,O=C([O-])c1cccc([S-])c1,6
N#CCCS,8.6,acid,N#CCCS,2,N#CCC[S-],2
O=C(O)COc1ccc(Cl)cc1,3.18,acid,O=C(O)COc1ccc(Cl)cc1,10,O=C([O-])COc1ccc(Cl)cc1,10
Sc1ccc(Cl)cc1,7.7,acid,Sc1ccc(Cl)cc1,6,[S-]c1ccc(Cl)cc1,6
COc1ccc(S)cc1,6.77,acid,COc1ccc(S)cc1,8,COc1ccc([S-])cc1,8
Cc1ccc(S)cc1,6.82,acid,Cc1ccc(S)cc1,7,Cc1ccc([S-])cc1,7
CC[C@H](C)c1ccc(O)c([N+](=O)[O-])c1,7.59,acid,CC[C@H](C)c1ccc(O)c([N+](=O)[O-])c1,13,CC[C@H](C)c1ccc([O-])c([N+](=O)[O-])c1,13
C=CCS,9.96,acid,C=CCS,3,C=CC[S-],3
COc1cc(OC)nc(NC(=O)NS(=O)(=O)c2c(-c3nnn(C)n3)cnn2C)n1,3.6,acid,COc1cc(OC)nc(NC(=O)NS(=O)(=O)c2c(-c3nnn(C)n3)cnn2C)n1,15,COc1cc(OC)nc(NC(=O)[N-]S(=O)(=O)c2c(-c3nnn(C)n3)cnn2C)n1,15
O=C(O)Cn1c(=O)sc2cccc(Cl)c21,3.04,acid,O=C(O)Cn1c(=O)sc2cccc(Cl)c21,14,O=C([O-])Cn1c(=O)sc2cccc(Cl)c21,14
C[C@H](O)CC(=O)O,4.7,acid,C[C@H](O)CC(=O)O,5,C[C@H](O)CC(=O)[O-],5
COc1cc(OC)nc(Oc2cccc(Oc3nc(OC)cc(OC)n3)c2C(=O)O)n1,3.55,acid,COc1cc(OC)nc(Oc2cccc(Oc3nc(OC)cc(OC)n3)c2C(=O)O)n1,17,COc1cc(OC)nc(Oc2cccc(Oc3nc(OC)cc(OC)n3)c2C(=O)[O-])n1,17
O=[N+]([O-])c1ccc(O/N=C/c2cc(Br)c(O)c(Br)c2)c([N+](=O)[O-])c1,5.46,acid,O=[N+]([O-])c1ccc(O/N=C/c2cc(Br)c(O)c(Br)c2)c([N+](=O)[O-])c1,22,O=[N+]([O-])c1ccc(O/N=C/c2cc(Br)c([O-])c(Br)c2)c([N+](=O)[O-])c1,22
O=C(O)COCCN1CCN([C@H](c2ccccc2)c2ccc(Cl)cc2)CC1,3.0,acid,O=C(O)COCCN1CCN([C@H](c2ccccc2)c2ccc(Cl)cc2)CC1,26,O=C([O-])COCCN1CCN([C@H](c2ccccc2)c2ccc(Cl)cc2)CC1,26
O=C([O-])COCC[NH+]1CCN([C@H](c2ccccc2)c2ccc(Cl)cc2)CC1,7.95,base,O=C([O-])COCC[NH+]1CCN([C@H](c2ccccc2)c2ccc(Cl)cc2)CC1,17,O=C([O-])COCCN1CCN([C@H](c2ccccc2)c2ccc(Cl)cc2)CC1,17
[H]/N=C(/N)SCCc1cccc(CCS/C(N)=N\[H])c1,11.0,base,[H]/N=C(/N)SCCc1cccc(CCSC(N)=[NH2+])c1,17,[H]/N=C(/N)SCCc1cccc(CCS/C(N)=N\[H])c1,1
CCCOC(C(=O)OC1CCN(C)CC1)(c1ccccc1)c1ccccc1,6.65,base,CCCOC(C(=O)OC1CC[NH+](C)CC1)(c1ccccc1)c1ccccc1,23,CCCOC(C(=O)OC1CCN(C)CC1)(c1ccccc1)c1ccccc1,23
CCN(CC)CCNC(=O)c1ccc(NC(C)=O)cc1,9.14,base,CC[NH+](CC)CCNC(=O)c1ccc(NC(C)=O)cc1,2,CCN(CC)CCNC(=O)c1ccc(NC(C)=O)cc1,2
CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)c1ccc2ccccc2n1,7.14,base,CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2C[N@H+]1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)c1ccc2ccccc2n1,16,CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)c1ccc2ccccc2n1,16
CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21,4.7,acid,CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21,26,CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)[O-])[C@H]21,26
COc1ccnc(NC2CCN(C(=O)c3ccc(C#N)cc3)CC2)c1,7.1,base,COc1cc[nH+]c(NC2CCN(C(=O)c3ccc(C#N)cc3)CC2)c1,5,COc1ccnc(NC2CCN(C(=O)c3ccc(C#N)cc3)CC2)c1,5
c1ccc(SCc2ccccn2)cc1,3.8,base,c1ccc(SCc2cccc[nH+]2)cc1,13,c1ccc(SCc2ccccn2)cc1,13
CCN(CC)[C@H](C)C(=O)c1ccccc1,8.8,base,CC[NH+](CC)[C@H](C)C(=O)c1ccccc1,2,CCN(CC)[C@H](C)C(=O)c1ccccc1,2
CO[C@@]1(NC(=O)CSCC#N)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CS[C@@H]21,3.37,acid,CO[C@@]1(NC(=O)CSCC#N)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CS[C@@H]21,29,CO[C@@]1(NC(=O)CSCC#N)C(=O)N2C(C(=O)[O-])=C(CSc3nnnn3C)CS[C@@H]21,29
Cc1nn(-c2ccccc2)c(NC(=O)NS(=O)(=O)c2ccc(Cl)cc2)c1C#N,2.3,acid,Cc1nn(-c2ccccc2)c(NC(=O)NS(=O)(=O)c2ccc(Cl)cc2)c1C#N,15,Cc1nn(-c2ccccc2)c(NC(=O)[N-]S(=O)(=O)c2ccc(Cl)cc2)c1C#N,15
NC1=N[C@H](c2cccs2)Nc2cccc(F)c21,8.73,base,NC1=[NH+][C@H](c2cccs2)Nc2cccc(F)c21,8,NC1=N[C@H](c2cccs2)Nc2cccc(F)c21,8
Cc1cc(N)nc(CCNC(=O)c2ccc(C#N)cc2)c1,7.1,base,Cc1cc(N)[nH+]c(CCNC(=O)c2ccc(C#N)cc2)c1,4,Cc1cc(N)nc(CCNC(=O)c2ccc(C#N)cc2)c1,4
CCOC(=O)N1CCC(Nc2cc(Cl)ccn2)CC1,5.3,base,CCOC(=O)N1CCC(Nc2cc(Cl)cc[nH+]2)CC1,17,CCOC(=O)N1CCC(Nc2cc(Cl)ccn2)CC1,17
O=C(O)CCCCCCCC(=O)O,3.49,acid,O=C(O)CCCCCCCC(=O)O,6,O=C([O-])CCCCCCCC(=O)O,12
c1ccc2c(c1)CCC[C@H]2C1=NCCN1,10.6,base,c1ccc2c(c1)CCC[C@H]2C1=[NH+]CCN1,11,c1ccc2c(c1)CCC[C@H]2C1=NCCN1,11
C=C[C@H]1C[N@@]2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,8.05,base,C=C[C@H]1C[N@@H+]2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,18,C=C[C@H]1C[N@@]2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,18
Clc1cccc(Cl)c1NC1=NCCN1,8.05,base,Clc1cccc(Cl)c1NC1=[NH+]CCN1,9,Clc1cccc(Cl)c1NC1=NCCN1,9
CCC(=O)N[C@@H](c1cccs1)c1cc(Cl)c2cccnc2c1O,8.19,acid,CCC(=O)N[C@@H](c1cccs1)c1cc(Cl)c2cccnc2c1O,21,CCC(=O)N[C@@H](c1cccs1)c1cc(Cl)c2cccnc2c1[O-],21
CCC[C@@H]1C[C@@H](C(=O)N[C@@H]([C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)[C@@H](C)O)N(C)C1,7.65,base,CCC[C@@H]1C[C@@H](C(=O)N[C@@H]([C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)[C@@H](C)O)[N@H+](C)C1,6,CCC[C@@H]1C[C@@H](C(=O)N[C@@H]([C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)[C@@H](C)O)N(C)C1,6
CC(=O)C[C@H](c1ccccc1)c1c(O)c2ccccc2oc1=O,5.1,acid,CC(=O)C[C@H](c1ccccc1)c1c(O)c2ccccc2oc1=O,22,CC(=O)C[C@H](c1ccccc1)c1c([O-])c2ccccc2oc1=O,22
CN(C)[C@@H]1CCc2c(ccc(O)c2O)C1,8.85,acid,CN(C)[C@@H]1CCc2c(ccc(O)c2O)C1,13,CN(C)[C@@H]1CCc2c(ccc([O-])c2O)C1,13
C[NH+](C)[C@@H]1CCc2c(ccc([O-])c2O)C1,8.85,acid,C[NH+](C)[C@@H]1CCc2c(ccc(O)c2O)C1,13,C[NH+](C)[C@@H]1CCc2c(ccc([O-])c2O)C1,13
C[NH+](C)[C@@H]1CCc2c(ccc(O)c2[O-])C1,8.85,acid,C[NH+](C)[C@@H]1CCc2c(ccc(O)c2O)C1,12,C[NH+](C)[C@@H]1CCc2c(ccc(O)c2[O-])C1,12
CCCSc1ccc2nc(NC(=O)OC)[nH]c2c1,10.5,acid,CCCSc1ccc2nc(NC(=O)OC)[nH]c2c1,13,CCCSc1ccc2nc([N-]C(=O)OC)[nH]c2c1,13
CCCSc1ccc2[nH+]c([N-]C(=O)OC)[nH]c2c1,10.5,base,CCCSc1ccc2[nH+]c([N-]C(=O)OC)[nH]c2c1,12,CCCSc1ccc2nc([N-]C(=O)OC)[nH]c2c1,12
COC(=O)C1=C(C)NC(C)=C(C(=O)OCCN(C)Cc2ccccc2)[C@H]1c1cccc([N+](=O)[O-])c1,7.26,base,COC(=O)C1=C(C)NC(C)=C(C(=O)OCC[N@@H+](C)Cc2ccccc2)[C@H]1c1cccc([N+](=O)[O-])c1,13,COC(=O)C1=C(C)NC(C)=C(C(=O)OCCN(C)Cc2ccccc2)[C@H]1c1cccc([N+](=O)[O-])c1,13
c1ccc(CSc2nc3ccccc3[nH]2)cc1,4.2,base,c1ccc(CSc2[nH]c3ccccc3[nH+]2)cc1,16,c1ccc(CSc2nc3ccccc3[nH]2)cc1,16
