dataset,exp,marvin_pred,marvin_err,smarts_agreed,n_atoms,kind,size_bin
novartis,7.1,6.86,0.23999999999999932,False,25,basic,22-30
novartis,7.32,7.93,0.6099999999999994,True,34,basic,>30
novartis,6.25,6.55,0.2999999999999998,True,19,basic,15-22
novartis,5.6,5.62,0.020000000000000462,True,17,basic,15-22
novartis,4.65,5.0,0.34999999999999964,False,32,basic,>30
novartis,8.3,9.44,1.1399999999999988,True,30,basic,22-30
novartis,7.5,7.73,0.23000000000000043,True,14,basic,<15
novartis,3.8,5.4,1.6000000000000005,False,35,basic,>30
novartis,9.4,6.79,2.6100000000000003,True,26,basic,22-30
novartis,5.3,5.97,0.6699999999999999,True,24,basic,22-30
novartis,8.4,8.94,0.5399999999999991,True,31,acidic,>30
novartis,8.2,8.82,0.620000000000001,True,34,basic,>30
novartis,3.41,3.43,0.020000000000000018,True,32,acidic,>30
novartis,5.522,3.66,1.862,True,18,basic,15-22
novartis,8.65,7.08,1.5700000000000003,True,24,acidic,22-30
novartis,5.283333,4.6,0.6833330000000002,True,30,basic,22-30
novartis,8.6,8.31,0.28999999999999915,True,22,acidic,15-22
novartis,8.4,8.31,0.08999999999999986,True,28,acidic,22-30
novartis,8.35,8.31,0.03999999999999915,True,27,acidic,22-30
novartis,8.35,8.29,0.0600000000000005,True,21,acidic,15-22
novartis,4.9,5.98,1.08,True,27,basic,22-30
novartis,4.8,5.89,1.0899999999999999,True,27,basic,22-30
novartis,7.31,7.94,0.6300000000000008,True,21,acidic,15-22
novartis,3.84,3.7,0.13999999999999968,True,27,basic,22-30
novartis,7.7,9.42,1.7199999999999998,True,42,basic,>30
novartis,10.4,8.46,1.9399999999999995,True,22,acidic,15-22
novartis,9.1,9.84,0.7400000000000002,True,30,basic,22-30
novartis,8.4,8.46,0.0600000000000005,True,22,basic,15-22
novartis,7.8,9.54,1.7399999999999993,True,35,basic,>30
novartis,7.9,9.44,1.5399999999999991,True,36,basic,>30
novartis,8.59,9.81,1.2200000000000006,True,28,basic,22-30
novartis,7.955,9.24,1.2850000000000001,True,28,basic,22-30
novartis,8.6,9.72,1.120000000000001,True,26,basic,22-30
novartis,7.74,7.24,0.5,True,19,acidic,15-22
novartis,3.86,3.39,0.46999999999999975,True,24,acidic,22-30
novartis,9.0,7.13,1.87,True,22,basic,15-22
novartis,8.5,8.61,0.10999999999999943,True,21,basic,15-22
novartis,4.4,5.0,0.5999999999999996,False,30,basic,22-30
novartis,4.94,5.0,0.05999999999999961,False,30,basic,22-30
novartis,4.8,5.0,0.20000000000000018,False,33,basic,>30
novartis,4.7,5.0,0.2999999999999998,False,31,basic,>30
novartis,4.75,5.0,0.25,False,33,basic,>30
novartis,4.7,5.0,0.2999999999999998,False,33,basic,>30
novartis,7.9,6.99,0.9100000000000001,True,12,basic,<15
novartis,9.43,8.86,0.5700000000000003,True,24,basic,22-30
novartis,9.46,10.6,1.1399999999999988,True,26,acidic,22-30
novartis,8.3,9.4,1.0999999999999996,True,36,basic,>30
novartis,4.63,4.96,0.33000000000000007,True,24,basic,22-30
novartis,3.4,2.82,0.5800000000000001,False,31,basic,>30
novartis,2.3,3.38,1.08,True,17,acidic,15-22
novartis,3.35,3.39,0.040000000000000036,True,17,acidic,15-22
novartis,3.5,3.96,0.45999999999999996,True,18,acidic,15-22
novartis,3.6,6.69,3.0900000000000003,True,34,basic,>30
novartis,3.9,4.26,0.3599999999999999,False,29,basic,22-30
novartis,4.2,4.11,0.08999999999999986,True,20,acidic,15-22
novartis,5.2,5.83,0.6299999999999999,True,23,basic,22-30
novartis,2.7,3.18,0.48,True,36,basic,>30
novartis,3.8,3.6,0.19999999999999973,True,21,acidic,15-22
novartis,9.8,9.43,0.370000000000001,True,12,acidic,<15
novartis,7.6,6.3,1.2999999999999998,True,12,basic,<15
novartis,8.35,9.16,0.8100000000000005,True,36,basic,>30
novartis,4.2,4.14,0.0600000000000005,True,29,basic,22-30
novartis,8.6,7.01,1.5899999999999999,True,18,basic,15-22
novartis,3.9,2.19,1.71,True,20,basic,15-22
novartis,4.0,3.07,0.9300000000000002,True,22,acidic,15-22
novartis,5.2,7.61,2.41,True,24,acidic,22-30
novartis,4.35,5.11,0.7600000000000007,True,23,basic,22-30
novartis,4.45,4.06,0.39000000000000057,True,20,acidic,15-22
novartis,5.0,4.81,0.1900000000000004,False,26,basic,22-30
novartis,4.28,4.14,0.14000000000000057,False,29,basic,22-30
novartis,9.0,9.09,0.08999999999999986,True,33,basic,>30
novartis,4.7,4.47,0.23000000000000043,True,26,basic,22-30
novartis,5.1,4.47,0.6299999999999999,True,21,basic,15-22
novartis,8.5,9.07,0.5700000000000003,True,37,basic,>30
novartis,6.0,6.08,0.08000000000000007,True,28,basic,22-30
novartis,6.0,6.09,0.08999999999999986,True,25,basic,22-30
novartis,4.18,5.44,1.2600000000000007,False,28,basic,22-30
novartis,10.01,10.05,0.040000000000000924,True,22,acidic,15-22
novartis,8.9,8.68,0.22000000000000064,True,24,basic,22-30
novartis,3.87,4.71,0.8399999999999999,False,20,acidic,15-22
novartis,7.2,3.89,3.31,True,22,basic,15-22
novartis,8.375,8.76,0.3849999999999998,True,27,basic,22-30
novartis,6.8,8.2,1.3999999999999995,True,19,acidic,15-22
novartis,5.2,4.71,0.4900000000000002,True,13,basic,<15
novartis,6.5,5.9,0.5999999999999996,True,15,acidic,<15
novartis,9.5,9.77,0.2699999999999996,True,24,basic,22-30
novartis,5.3,4.87,0.4299999999999997,True,18,basic,15-22
novartis,4.94,5.79,0.8499999999999996,False,17,acidic,15-22
novartis,4.1,3.5,0.5999999999999996,True,16,basic,15-22
novartis,10.2,6.72,3.4799999999999995,True,20,basic,15-22
novartis,3.7,5.9,2.2,False,12,acidic,<15
novartis,3.7,6.99,3.29,True,28,acidic,22-30
novartis,4.5,6.8,2.3,True,23,acidic,22-30
novartis,7.0,7.34,0.33999999999999986,True,27,basic,22-30
novartis,5.3,3.71,1.5899999999999999,True,18,basic,15-22
novartis,4.6,6.18,1.58,True,18,basic,15-22
novartis,3.9,3.88,0.020000000000000018,True,18,acidic,15-22
novartis,7.5,7.28,0.21999999999999975,False,19,acidic,15-22
novartis,8.3,7.28,1.0200000000000005,False,19,acidic,15-22
novartis,4.2,4.35,0.14999999999999947,True,30,acidic,22-30
novartis,4.5,4.0,0.5,True,32,acidic,>30
novartis,5.4,5.99,0.5899999999999999,True,22,basic,15-22
novartis,4.0,3.97,0.029999999999999805,False,27,basic,22-30
novartis,9.55,10.37,0.8199999999999985,True,11,basic,<15
novartis,8.26,10.66,2.4000000000000004,True,25,acidic,22-30
novartis,3.9,3.21,0.69,True,18,basic,15-22
novartis,7.5,6.16,1.3399999999999999,True,11,basic,<15
novartis,10.8,11.6,0.7999999999999989,True,20,acidic,15-22
novartis,2.9,3.44,0.54,False,11,basic,<15
novartis,6.9,6.48,0.41999999999999993,True,17,basic,15-22
novartis,5.6,5.98,0.3800000000000008,False,23,basic,22-30
novartis,6.9,6.45,0.4500000000000002,True,17,basic,15-22
novartis,4.7,5.33,0.6299999999999999,False,18,basic,15-22
novartis,4.5,5.32,0.8200000000000003,False,18,basic,15-22
novartis,6.1,7.09,0.9900000000000002,True,24,basic,22-30
novartis,5.1,4.89,0.20999999999999996,True,25,basic,22-30
novartis,3.6,2.82,0.7800000000000002,False,29,basic,22-30
novartis,9.9,9.2,0.7000000000000011,True,17,acidic,15-22
novartis,8.77,6.8,1.9699999999999998,False,29,basic,22-30
novartis,5.9,6.32,0.41999999999999993,True,34,basic,>30
novartis,8.7,8.78,0.08000000000000007,True,17,acidic,15-22
novartis,8.4,8.78,0.379999999999999,True,18,acidic,15-22
novartis,3.4,2.6,0.7999999999999998,True,21,acidic,15-22
novartis,3.8,3.23,0.5699999999999998,False,23,basic,22-30
novartis,5.2,5.02,0.1800000000000006,True,27,basic,22-30
novartis,6.3,7.18,0.8799999999999999,True,18,acidic,15-22
novartis,7.2,7.93,0.7299999999999995,True,17,acidic,15-22
novartis,4.1,4.73,0.6300000000000008,True,25,basic,22-30
novartis,3.2,3.55,0.34999999999999964,True,24,acidic,22-30
novartis,3.3,3.55,0.25,True,25,acidic,22-30
novartis,10.5,7.89,2.6100000000000003,False,22,acidic,15-22
novartis,5.8,7.87,2.0700000000000003,True,21,acidic,15-22
novartis,5.7,9.02,3.3199999999999994,True,23,acidic,22-30
novartis,3.51,3.81,0.30000000000000027,True,18,acidic,15-22
novartis,3.48,3.9,0.41999999999999993,True,19,acidic,15-22
novartis,3.0,3.87,0.8700000000000001,True,18,acidic,15-22
novartis,3.5,4.21,0.71,True,21,acidic,15-22
novartis,3.9,4.07,0.17000000000000037,True,15,acidic,<15
novartis,4.1,3.83,0.2699999999999996,True,24,acidic,22-30
novartis,3.2,3.88,0.6799999999999997,True,28,acidic,22-30
novartis,4.2,4.15,0.04999999999999982,True,30,acidic,22-30
novartis,4.45,4.06,0.39000000000000057,True,24,acidic,22-30
novartis,3.9,3.87,0.029999999999999805,True,24,acidic,22-30
novartis,3.9,3.86,0.040000000000000036,True,21,acidic,15-22
novartis,4.39,3.89,0.49999999999999956,True,26,acidic,22-30
novartis,3.3,2.82,0.48,False,32,basic,>30
novartis,3.3,2.82,0.48,False,29,basic,22-30
novartis,11.7,11.68,0.019999999999999574,True,15,acidic,<15
novartis,8.3,8.06,0.2400000000000002,True,13,acidic,<15
novartis,3.8,3.71,0.08999999999999986,False,22,basic,15-22
novartis,3.9,2.82,1.08,False,32,basic,>30
novartis,3.8,3.23,0.5699999999999998,False,28,basic,22-30
novartis,3.75,2.82,0.9300000000000002,False,32,basic,>30
novartis,3.6,2.82,0.7800000000000002,False,29,basic,22-30
novartis,9.3,9.65,0.34999999999999964,True,32,acidic,>30
novartis,8.7,10.25,1.5500000000000007,,21,acidic,15-22
novartis,5.3,6.62,1.3200000000000003,True,11,acidic,<15
novartis,8.55,9.17,0.6199999999999992,True,28,basic,22-30
novartis,8.845,9.73,0.8849999999999998,True,25,basic,22-30
novartis,7.3,8.27,0.9699999999999998,True,25,acidic,22-30
novartis,8.2,7.44,0.7599999999999989,False,31,acidic,>30
novartis,6.4,6.23,0.16999999999999993,True,27,basic,22-30
novartis,7.87,8.14,0.27000000000000046,True,21,acidic,15-22
novartis,7.94,8.14,0.20000000000000018,True,21,acidic,15-22
novartis,4.42,5.67,1.25,False,24,acidic,22-30
novartis,8.1,6.85,1.25,True,19,acidic,15-22
novartis,9.75,8.65,1.0999999999999996,True,23,acidic,22-30
novartis,8.2,6.58,1.6199999999999992,True,19,acidic,15-22
novartis,10.0,11.82,1.8200000000000003,True,15,acidic,<15
novartis,7.5,3.98,3.52,False,25,acidic,22-30
novartis,7.35,6.59,0.7599999999999998,False,20,acidic,15-22
novartis,5.8,6.35,0.5499999999999998,True,16,acidic,15-22
novartis,4.6,4.49,0.10999999999999943,True,28,basic,22-30
novartis,8.4,8.93,0.5299999999999994,True,10,basic,<15
novartis,4.9,3.45,1.4500000000000002,False,25,basic,22-30
novartis,4.8,3.62,1.1799999999999997,True,20,basic,15-22
novartis,9.0,8.88,0.11999999999999922,True,12,basic,<15
novartis,8.0,5.81,2.1900000000000004,True,24,basic,22-30
novartis,3.6,2.13,1.4700000000000002,True,17,basic,15-22
avlilumove,7.42,8.6,1.1799999999999997,True,15,basic,<15
avlilumove,9.5,9.86,0.35999999999999943,True,10,basic,<15
avlilumove,9.1,9.05,0.049999999999998934,True,9,basic,<15
avlilumove,3.6,4.09,0.48999999999999977,True,14,acidic,<15
avlilumove,9.4,9.78,0.379999999999999,True,11,basic,<15
avlilumove,9.0,9.45,0.4499999999999993,True,10,basic,<15
avlilumove,7.96,9.1,1.1399999999999997,True,27,basic,22-30
avlilumove,3.73,3.55,0.18000000000000016,True,22,acidic,15-22
avlilumove,9.92,9.76,0.16000000000000014,True,21,basic,15-22
avlilumove,8.8,9.76,0.9599999999999991,True,21,basic,15-22
avlilumove,4.44,4.85,0.40999999999999925,True,15,acidic,<15
avlilumove,4.31,4.54,0.23000000000000043,True,30,acidic,22-30
avlilumove,7.34,8.49,1.1500000000000004,True,22,basic,15-22
avlilumove,8.48,8.76,0.27999999999999936,True,28,basic,22-30
avlilumove,7.9,8.5,0.5999999999999996,True,11,basic,<15
avlilumove,5.15,4.76,0.39000000000000057,True,22,acidic,15-22
avlilumove,10.55,9.36,1.1900000000000013,True,9,basic,<15
avlilumove,7.4,8.47,1.0700000000000003,True,20,basic,15-22
avlilumove,11.4,11.14,0.2599999999999998,True,9,basic,<15
avlilumove,6.325,5.81,0.5150000000000006,True,19,acidic,15-22
avlilumove,9.06,9.51,0.4499999999999993,True,25,basic,22-30
avlilumove,8.83,8.89,0.0600000000000005,True,39,basic,>30
avlilumove,8.79,8.91,0.120000000000001,True,39,basic,>30
avlilumove,9.52,9.65,0.13000000000000078,True,24,basic,22-30
avlilumove,3.56,4.27,0.7099999999999995,True,16,acidic,15-22
avlilumove,7.85,8.86,1.0099999999999998,True,22,basic,15-22
avlilumove,3.6,4.22,0.6199999999999997,True,20,acidic,15-22
avlilumove,3.65,4.22,0.5699999999999998,True,22,acidic,15-22
avlilumove,4.77,4.3,0.46999999999999975,True,25,acidic,22-30
avlilumove,4.87,4.35,0.5200000000000005,True,25,acidic,22-30
avlilumove,9.0,8.36,0.6400000000000006,True,21,basic,15-22
avlilumove,9.48,9.29,0.19000000000000128,True,13,basic,<15
avlilumove,7.72,7.55,0.16999999999999993,True,27,basic,22-30
avlilumove,8.8,8.8,0.0,True,18,basic,15-22
avlilumove,9.66,9.48,0.17999999999999972,True,24,basic,22-30
avlilumove,7.1,6.87,0.22999999999999954,True,26,basic,22-30
avlilumove,5.4,7.83,2.4299999999999997,True,21,basic,15-22
avlilumove,5.4,7.83,2.4299999999999997,True,21,basic,15-22
avlilumove,9.3,8.27,1.0300000000000011,True,25,basic,22-30
avlilumove,10.9,10.53,0.370000000000001,True,4,basic,<15
avlilumove,8.28,8.22,0.05999999999999872,True,22,basic,15-22
avlilumove,8.7,8.84,0.14000000000000057,True,22,basic,15-22
avlilumove,8.15,9.04,0.8899999999999988,True,14,basic,<15
avlilumove,6.0,9.38,3.380000000000001,True,33,basic,>30
avlilumove,9.56,9.66,0.09999999999999964,True,19,basic,15-22
avlilumove,8.4,8.44,0.03999999999999915,True,27,basic,22-30
avlilumove,8.28,8.84,0.5600000000000005,True,29,basic,22-30
avlilumove,4.7,3.63,1.0700000000000003,True,15,acidic,<15
avlilumove,9.99,10.04,0.049999999999998934,True,12,basic,<15
avlilumove,9.32,9.27,0.05000000000000071,True,15,basic,<15
avlilumove,8.7,7.67,1.0299999999999994,True,19,basic,15-22
avlilumove,8.22,9.19,0.9699999999999989,True,22,basic,15-22
avlilumove,9.23,10.06,0.8300000000000001,True,21,basic,15-22
avlilumove,9.86,9.99,0.13000000000000078,True,12,basic,<15
avlilumove,3.86,3.79,0.06999999999999984,True,6,acidic,<15
avlilumove,9.05,9.37,0.3199999999999985,True,11,basic,<15
avlilumove,5.04,4.6,0.4400000000000004,True,28,acidic,22-30
avlilumove,5.03,4.6,0.4300000000000006,True,28,acidic,22-30
avlilumove,3.86,3.79,0.06999999999999984,True,6,acidic,<15
avlilumove,9.94,10.01,0.07000000000000028,True,10,basic,<15
avlilumove,9.19,9.37,0.17999999999999972,True,11,basic,<15
avlilumove,8.7,9.76,1.0600000000000005,True,21,basic,15-22
avlilumove,8.7,8.66,0.03999999999999915,True,8,basic,<15
avlilumove,9.5,9.78,0.27999999999999936,True,9,basic,<15
avlilumove,9.3,9.5,0.1999999999999993,True,16,basic,15-22
avlilumove,9.4,9.65,0.25,True,15,basic,<15
avlilumove,9.8,9.78,0.02000000000000135,True,14,basic,<15
avlilumove,9.3,9.29,0.010000000000001563,True,15,basic,<15
avlilumove,9.27,9.25,0.019999999999999574,True,23,basic,22-30
avlilumove,8.5,8.5,0.0,True,14,basic,<15
avlilumove,9.61,8.86,0.75,True,22,basic,15-22
avlilumove,10.195,9.69,0.5050000000000008,True,10,basic,<15
avlilumove,9.84,9.38,0.4599999999999991,True,21,basic,15-22
avlilumove,9.84,9.38,0.4599999999999991,True,21,basic,15-22
avlilumove,10.37,10.3,0.06999999999999851,True,12,basic,<15
avlilumove,10.45,10.04,0.41000000000000014,True,13,basic,<15
avlilumove,8.0,9.56,1.5600000000000005,True,20,basic,15-22
avlilumove,9.99,10.21,0.22000000000000064,True,11,basic,<15
avlilumove,9.73,9.52,0.21000000000000085,True,12,basic,<15
avlilumove,9.9,9.95,0.049999999999998934,True,27,basic,22-30
avlilumove,2.82,3.05,0.22999999999999998,True,24,acidic,22-30
avlilumove,3.21,3.47,0.26000000000000023,True,14,acidic,<15
avlilumove,10.0,9.95,0.05000000000000071,True,27,basic,22-30
avlilumove,7.6,9.73,2.130000000000001,True,24,basic,22-30
avlilumove,7.5,9.03,1.5299999999999994,True,20,basic,15-22
avlilumove,7.16,9.25,2.09,True,21,basic,15-22
avlilumove,7.54,9.29,1.7499999999999991,True,21,basic,15-22
avlilumove,10.0,9.95,0.05000000000000071,True,26,basic,22-30
avlilumove,3.4,3.03,0.3700000000000001,True,31,acidic,>30
avlilumove,7.45,9.65,2.2,True,26,basic,22-30
avlilumove,7.5,7.76,0.2599999999999998,True,7,basic,<15
avlilumove,9.4,9.61,0.20999999999999908,True,6,basic,<15
avlilumove,8.8,8.77,0.030000000000001137,True,14,basic,<15
avlilumove,9.3,8.77,0.5300000000000011,True,14,basic,<15
avlilumove,4.0,5.09,1.0899999999999999,True,8,basic,<15
avlilumove,2.0,5.95,3.95,True,31,basic,>30
avlilumove,8.76,9.17,0.41000000000000014,True,27,basic,22-30
avlilumove,7.8,8.13,0.33000000000000096,True,12,basic,<15
avlilumove,8.1,7.69,0.40999999999999925,True,19,basic,15-22
avlilumove,7.4,6.74,0.6600000000000001,True,18,basic,15-22
avlilumove,7.4,6.72,0.6800000000000006,True,18,basic,15-22
avlilumove,7.6,6.75,0.8499999999999996,False,28,basic,22-30
avlilumove,3.3,4.26,0.96,True,18,acidic,15-22
avlilumove,2.64,2.81,0.16999999999999993,True,13,acidic,<15
avlilumove,3.62,3.39,0.22999999999999998,True,13,acidic,<15
avlilumove,2.9,3.04,0.14000000000000012,True,20,acidic,15-22
avlilumove,3.4,2.9,0.5,True,23,acidic,22-30
avlilumove,4.09,3.88,0.20999999999999996,True,20,acidic,15-22
avlilumove,2.32,3.09,0.77,True,11,acidic,<15
avlilumove,8.4,8.18,0.22000000000000064,True,15,basic,<15
avlilumove,8.26,9.27,1.0099999999999998,True,25,basic,22-30
avlilumove,5.4,5.27,0.13000000000000078,True,8,basic,<15
avlilumove,8.08,8.95,0.8699999999999992,True,8,basic,<15
avlilumove,10.4,10.13,0.2699999999999996,True,15,basic,<15
avlilumove,10.5,10.2,0.3000000000000007,True,13,basic,<15
avlilumove,10.0,10.12,0.11999999999999922,True,14,basic,<15
avlilumove,10.4,10.2,0.20000000000000107,True,12,basic,<15
avlilumove,9.2,9.36,0.16000000000000014,True,13,basic,<15
avlilumove,9.9,10.18,0.27999999999999936,True,11,basic,<15
avlilumove,9.0,9.5,0.5,True,10,basic,<15
avlilumove,8.37,9.32,0.9500000000000011,True,18,basic,15-22
avlilumove,9.0,8.88,0.11999999999999922,True,12,basic,<15
avlilumove,8.9,8.69,0.21000000000000085,True,12,basic,<15
