smiles,pKa,marvin_atom,kind,site_atoms,site_kinds,site_names
C1=C(c2nc3ccccc3s2)C2CC[NH+]1CC2,7.4,11,base,"[11, 6]","['base', 'base']","['tert_amine', 'pyridine_N']"
C1=NC(c2ccccc2)[NH2+]C1,6.48,7,base,"[7, 10]","['base', 'base']","['sec_amine', 'imine_N']"
C1=NC[NH2+]C1,6.99,2,base,"[4, 2]","['base', 'base']","['sec_amine', 'imine_N']"
C1CC2CC1NN2,7.94,6,base,"[5, 6]","['base', 'base']","['sec_amine', 'sec_amine']"
C1CCN(N2CCCC2)C1,7.16,5,base,"[3, 5]","['base', 'base']","['tert_amine', 'tert_amine']"
C1CCN(N2CCCCC2)CC1,7.09,6,base,"[3, 6]","['base', 'base']","['tert_amine', 'tert_amine']"
C1CCN2CCCCN2C1,6.79,8,base,"[3, 8]","['base', 'base']","['tert_amine', 'tert_amine']"
C1CN2CCCN2C1,7.95,6,base,"[2, 6]","['base', 'base']","['tert_amine', 'tert_amine']"
C=C(Br)COc1noc2c1C[NH2+]CC2,7.6,11,base,"[11, 8]","['base', 'base']","['sec_amine', 'pyridine_N']"
C=C(C)CCN(C1=[NH+]CCN1)c1c(Br)cccc1Br,10.9,15,base,"[15, 5]","['base', 'base']","['guanidine', 'aniline_tert']"
C=C(C)CN(C1=[NH+]CCN1)c1c(Br)cccc1Br,10.71,14,base,"[14, 4]","['base', 'base']","['guanidine', 'aniline_tert']"
C=C(C)[C@H]1C[NH2+][C@H](C(=O)[O-])[C@H]1CC(=O)OC,9.52,5,base,"[15, 5]","['acid', 'base']","['carboxylic_acid', 'sec_amine']"
C=C(C)[C@H]1C[NH2+][C@H](C(=O)[O-])[C@H]1CC(N)=O,9.47,5,base,"[14, 5]","['acid', 'base']","['carboxylic_acid', 'sec_amine']"
C=CC1C[NH+]2CCC1C[C@H]2C(=O)[O-],10.6,4,base,"[12, 4]","['acid', 'base']","['carboxylic_acid', 'tert_amine']"
C=CCCN(C1=[NH+]CCN1)c1c(Br)cccc1Br,11.2,14,base,"[14, 4]","['base', 'base']","['guanidine', 'aniline_tert']"
C=CCN(C1=[NH+]CCN1)c1c(Br)cccc1Br,10.7,13,base,"[13, 3]","['base', 'base']","['guanidine', 'aniline_tert']"
C=CCN(C1=[NH+]CCN1)c1c(Cl)cccc1Cl,10.42,13,base,"[13, 3]","['base', 'base']","['guanidine', 'aniline_tert']"
C=CCNC(=O)c1ccc(-c2ccc(-c3ccccc3)n2Cc2cccc(N)n2)cc1,6.86,23,base,"[23, 24]","['base', 'base']","['pyridine_N', 'aniline']"
C=CCOc1noc2c1C[NH2+]CC2,7.5,11,base,"[11, 8]","['base', 'base']","['sec_amine', 'pyridine_N']"
C=CCn1c(C)c(C)c2cc(-n3ccccc3=O)nc(NCc3c(C)cccc3C)c21,4.0,14,base,"[14, 8]","['base', 'base']","['pyridine_N', 'aniline_sec']"
C=C[C@]1(O)C[NH+]2CC[C@H]1C[C@H]2[C@H](O)c1cc(=O)[nH]c2ccccc12,7.65,4,base,"[15, 4]","['acid', 'base']","['aromatic_lactam', 'tert_amine']"
CC#CCOc1noc2c1C[NH2+]CC2,7.6,12,base,"[12, 9]","['base', 'base']","['sec_amine', 'pyridine_N']"
CC#C[C@@H](CC(=O)[O-])c1ccc(OCc2ccc(CN3CCCc4cccc(OC)c43)s2)cc1,3.4,7,acid,"[7, 22]","['acid', 'base']","['carboxylic_acid', 'aniline_tert']"
CC#C[C@@H](CC(=O)[O-])c1ccc(OCc2ccc(N3CCC4(CCc5ccccc54)CC3)s2)cc1,3.4,7,acid,"[7, 21]","['acid', 'base']","['carboxylic_acid', 'aniline_tert']"
CC#C[C@@H](CC(=O)[O-])c1ccc(OCc2ccc3nc(-c4c(C)cccc4C)nn3c2)cc1,4.3,7,acid,"[7, 20]","['acid', 'base']","['carboxylic_acid', 'pyridine_N']"
CC#C[C@H](C)Oc1cc(N)c(Cl)cc1C(=O)N[C@@H]1C[C@H]2CC[C@@H](C1)[NH+]2C,9.95,22,base,"[22, 25]","['base', 'base']","['tert_amine', 'aniline']"
CC(=O)/[NH+]=c1/c(-c2c(Cl)cccc2Cl)cc2cnc(C)nc2n1C,2.5,2,base,"[2, 14]","['base', 'base']","['pyridine_N', 'pyridine_N']"
CC(=O)N(C)c1ccccn1,2.01,10,base,"[10, 3]","['base', 'base']","['pyridine_N', 'aniline_tert']"
CC(=O)N(C)c1cccnc1,3.52,9,base,"[9, 3]","['base', 'base']","['pyridine_N', 'aniline_tert']"
CC(=O)N(C)c1ccncc1,4.62,8,base,"[8, 3]","['base', 'base']","['pyridine_N', 'aniline_tert']"
CC(=O)N(C)c1nnc(S(N)(=O)=O)s1,7.4,13,acid,"[13, 3]","['acid', 'base']","['sulfonamide_1', 'aniline_tert']"
CC(=O)N(O)c1ccccc1,8.36,10,acid,"[10, 3]","['acid', 'base']","['hydroxamic_acid', 'aniline_tert']"
CC(=O)N(c1ccccc1)c1nnc(S(N)(=O)=O)s1,7.32,18,acid,"[18, 3]","['acid', 'base']","['sulfonamide_1', 'aniline_tert']"
CC(=O)N1CC[NH+](CCC[C@@]2(c3ccccc3)CC(c3cc(F)ccc3F)=NN2C(C)=O)CC1,6.7,6,base,"[6, 15]","['base', 'base']","['tert_amine', 'imine_N']"
CC(=O)N1N=C(c2cc(F)ccc2F)C[C@@]1(CCC[NH+]1CC(F)C1)c1ccccc1,7.1,19,base,"[19, 7]","['base', 'base']","['tert_amine', 'imine_N']"
CC(=O)N1N=C(c2cc(F)ccc2F)C[C@@]1(CCC[NH+]1CC2CCC1C2)c1ccccc1,10.1,19,base,"[19, 7]","['base', 'base']","['tert_amine', 'imine_N']"
CC(=O)N1N=C(c2cc(F)ccc2F)C[C@@]1(CCC[NH+]1CCCC1)c1ccccc1,9.4,19,base,"[19, 7]","['base', 'base']","['tert_amine', 'imine_N']"
CC(=O)N1N=C(c2cc(F)ccc2F)C[C@@]1(CCC[NH+]1CCOCC1)c1ccccc1,7.1,19,base,"[19, 7]","['base', 'base']","['tert_amine', 'imine_N']"
CC(=O)N1N=C(c2cc(F)ccc2F)C[C@@]1(CCC[NH+]1C[C@H]2C[C@@H]1CO2)c1ccccc1,8.0,19,base,"[19, 7]","['base', 'base']","['tert_amine', 'imine_N']"
CC(=O)NO,9.07,4,acid,"[4, 3]","['acid', 'base']","['hydroxamic_acid', 'hydroxylamine_N']"
CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)C[NH2+]C1(c2cc(CC(C)(C)C)no2)CCCCC1,6.4,16,base,"[16, 26]","['base', 'base']","['sec_amine', 'pyridine_N']"
CC(=O)Nc1ccc(Cc2c3ccccc3nc3ccccc23)cc1,7.51,18,base,"[18, 3]","['base', 'base']","['pyridine_N', 'aniline_sec']"
CC(=O)Nc1ccc(N)cc1,4.46,10,base,"[10, 3]","['base', 'base']","['aniline', 'aniline_sec']"
CC(=O)Nc1ccc(O)cc1,9.543333,10,acid,"[10, 3]","['acid', 'base']","['phenol', 'aniline_sec']"
CC(=O)Nc1ccc(S(N)(=O)=O)cc1,10.02,13,acid,"[13, 3]","['acid', 'base']","['sulfonamide_1', 'aniline_sec']"
CC(=O)Nc1ccc([S-])cc1,6.08,10,acid,"[10, 3]","['acid', 'base']","['thiol', 'aniline_sec']"
CC(=O)Nc1ccc2cc3ccccc3nc2c1,5.6,15,base,"[15, 3]","['base', 'base']","['pyridine_N', 'aniline_sec']"
CC(=O)Nc1ccc2nc3ccccc3cc2c1,4.7,17,base,"[17, 3]","['base', 'base']","['pyridine_N', 'aniline_sec']"
CC(=O)Nc1ccc2ncccc2c1,5.51,13,base,"[13, 3]","['base', 'base']","['pyridine_N', 'aniline_sec']"
CC(=O)Nc1cccc(O)c1,9.38,10,acid,"[10, 3]","['acid', 'base']","['phenol', 'aniline_sec']"
CC(=O)Nc1cccc2cc3ccccc3nc12,3.0,10,base,"[10, 3]","['base', 'base']","['pyridine_N', 'aniline_sec']"
CC(=O)Nc1cccc2nc3ccccc3cc12,4.4,17,base,"[17, 3]","['base', 'base']","['pyridine_N', 'aniline_sec']"
CC(=O)Nc1ccccn1,4.09,9,base,"[9, 3]","['base', 'base']","['pyridine_N', 'aniline_sec']"
CC(=O)Nc1cccnc1,4.44,8,base,"[8, 3]","['base', 'base']","['pyridine_N', 'aniline_sec']"
CC(=O)Nc1ccncc1,5.87,7,base,"[7, 3]","['base', 'base']","['pyridine_N', 'aniline_sec']"
CC(=O)OCCCS(=O)(=O)c1ccc(S(N)(=O)=O)s1,8.05,18,acid,"[18, 6]","['acid', 'acid']","['sulfonamide_1', 'sulfone_CH']"
CC(=O)OCCS(=O)(=O)c1ccc(S(N)(=O)=O)s1,8.65,17,acid,"[17, 5]","['acid', 'acid']","['sulfonamide_1', 'sulfone_CH']"
CC(=O)OCCc1cnc[nH]1,6.97,8,base,"[10, 8]","['acid', 'base']","['imidazole_NH', 'pyridine_N']"
CC(=O)c1ccc(Nc2c3ccccc3nc3ccccc23)cc1,6.12,17,base,"[17, 9]","['base', 'base']","['pyridine_N', 'aniline_sec']"
CC(=O)c1ccc(O)c2ncccc12,5.86,13,acid,"[13, 12]","['acid', 'base']","['phenol', 'pyridine_N']"
CC(=[NH2+])N1C2CC(OC(=O)C(CO)c3ccccc3)CC1C1OC12,10.74,2,base,"[2, 3]","['base', 'base']","['amidine', 'morpholine_N']"
CC(C#N)C(=O)[O-],2.37,6,acid,"[6, 1]","['acid', 'acid']","['carboxylic_acid', 'cyanoacetate']"
CC(C(=O)[O-])c1ccc(N2Cc3ccccc3C2=O)cc1,4.6,20,acid,"[20, 8]","['acid', 'base']","['carboxylic_acid', 'aniline_tert']"
CC(C(=O)[O-])c1ccc2oc(-c3ccc(Cl)cc3)nc2c1,6.9,20,acid,"[20, 8]","['acid', 'base']","['carboxylic_acid', 'pyridine_N']"
CC(C(=O)[O-])c1cccc2nc(-c3ccc(Cl)cc3)oc12,6.25,20,acid,"[20, 10]","['acid', 'base']","['carboxylic_acid', 'pyridine_N']"
CC(C(=O)[O-])c1cccc2nc(-c3ccccc3)oc12,6.2,19,acid,"[19, 10]","['acid', 'base']","['carboxylic_acid', 'pyridine_N']"
CC(C(N)=O)S(=O)(=O)NC(N)=O,5.21,8,acid,"[8, 1]","['acid', 'acid']","['sulfonamide_2', 'sulfone_CH']"
CC(C(N)=O)S(N)(=O)=O,9.86,8,acid,"[8, 1]","['acid', 'acid']","['sulfonamide_1', 'sulfone_CH']"
CC(C)(C)/C(N)=[NH+]/O,5.8,5,base,"[6, 5]","['acid', 'base']","['oxime', 'amidine']"
CC(C)(C)C(=O)NO,9.59,7,acid,"[7, 6]","['acid', 'base']","['hydroxamic_acid', 'hydroxylamine_N']"
CC(C)(C)C1CCC(CC2=C(OCOP(=O)([O-])[O-])C(=O)c3ccccc3C2=O)CC1,2.28,28,base,"[28, 29]","['acid', 'acid']","['phosphoric_acid', 'phosphoric_acid']"
CC(C)(C)C1CCC(CC2=C(OP(=O)([O-])[O-])C(=O)c3ccccc3C2=O)CC1,2.68,26,base,"[26, 27]","['acid', 'acid']","['phosphoric_acid', 'phosphoric_acid']"
CC(C)(C)N1NC2CCC1C2,9.12,10,base,"[10, 4]","['base', 'base']","['sec_amine', 'tert_amine']"
CC(C)(C)N1NC2CCC1C21CC1,9.33,12,base,"[12, 4]","['base', 'base']","['sec_amine', 'tert_amine']"
CC(C)(C)N1NC2CCC1CC2,9.54,9,base,"[9, 4]","['base', 'base']","['sec_amine', 'tert_amine']"
CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2C[NH+]1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)c1ccc2ccccc2n1,6.8,16,base,"[16, 47]","['base', 'base']","['tert_amine', 'pyridine_N']"
CC(C)(C)NNC(C)(C)C,8.31,5,base,"[4, 5]","['base', 'base']","['sec_amine', 'sec_amine']"
CC(C)(C)OC(=O)NC(CCC(N)=O)C(=O)[O-],3.66,16,acid,"[16, 7]","['acid', 'acid']","['carboxylic_acid', 'carbamate_NH']"
CC(C)(C)[NH+]1CCC(Oc2ccc3[nH]c(C(=O)N4CCOCC4)cc3c2)CC1,10.0,4,base,"[4, 22]","['base', 'base']","['tert_amine', 'morpholine_N']"
CC(C)(C)[NH2+]CC(O)COc1cccc2c1CCC(=O)N2,9.2,4,base,"[4, 19]","['base', 'base']","['sec_amine', 'aniline_sec']"
CC(C)(C)[NH2+]CC(O)c1cc(Cl)c(N)c(C(F)(F)F)c1,9.7,4,base,"[4, 14]","['base', 'base']","['sec_amine', 'aniline']"
CC(C)(C)c1ccccc1Nc1c2ccccc2nc2ccccc12,7.62,18,base,"[18, 10]","['base', 'base']","['pyridine_N', 'aniline_sec']"
CC(C)(C)c1cn2nc(S(N)(=O)=O)sc2[nH+]1,6.94,15,acid,"[15, 8]","['acid', 'base']","['sulfonamide_1', 'pyridine_N']"
CC(C)(CO[N+](=O)[O-])C(=O)Oc1ccccc1C(=O)[O-],3.69,19,acid,"[19, 5]","['acid', 'base']","['carboxylic_acid', 'tert_amine']"
CC(C)(O)CCS(=O)(=O)c1ccc(S(N)(=O)=O)cc1,9.28,17,acid,"[17, 4]","['acid', 'acid']","['sulfonamide_1', 'sulfone_CH']"
CC(C)=CCN(C1=[NH+]CCN1)c1c(Br)cccc1Br,10.75,14,base,"[14, 4]","['base', 'base']","['guanidine', 'aniline_tert']"
CC(C)C(Nc1ccccc1)C(=O)[O-],4.4,6,acid,"[6, 7]","['acid', 'base']","['carboxylic_acid', 'aniline_sec']"
CC(C)CC1CC([O-])=C(C(=O)Nc2ccc(C3CCCCC3)cc2)C(=O)N1,6.5,26,acid,"[26, 13]","['acid', 'base']","['enol', 'aniline_sec']"
CC(C)CCN(C1=[NH+]CCN1)c1c(Br)cccc1Br,10.9,15,base,"[15, 5]","['base', 'base']","['guanidine', 'aniline_tert']"
CC(C)CN(C1=[NH+]CCN1)c1c(Br)cccc1Br,11.02,14,base,"[14, 4]","['base', 'base']","['guanidine', 'aniline_tert']"
CC(C)CNC(=O)c1cnc(Nc2cccc(Cl)c2)cc1C(C)C,6.02,9,base,"[9, 16]","['base', 'base']","['pyridine_N', 'aniline_sec']"
CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)[NH+]1CCCC1,9.3,22,base,"[22, 8]","['base', 'base']","['tert_amine', 'aniline_tert']"
CC(C)COc1noc2c1C[NH2+]CC2,7.7,12,base,"[12, 9]","['base', 'base']","['sec_amine', 'pyridine_N']"
CC(C)C[C@@H](C(=O)NCC#N)c1cccc(-c2ccc(N3CC[NH2+]CC3)cc2)c1,8.77,20,base,"[20, 17]","['base', 'base']","['sec_amine', 'aniline_tert']"
CC(C)C[C@H]([NH3+])C(=O)NCCCS(=O)(=O)Oc1ccc(C(F)(F)F)cc1,8.9,25,base,"[10, 25]","['acid', 'base']","['sulfone_CH', 'prim_amine']"
CC(C)C[C@H]([NH3+])C(=O)NCCCS(=O)(=O)Oc1ccc(Cl)cc1,9.6,22,base,"[10, 22]","['acid', 'base']","['sulfone_CH', 'prim_amine']"
CC(C)N(/C=[NH+]\c1ccn(C2CC(F)C(CO)O2)c(=O)n1)C(C)C,5.13,5,base,"[5, 12]","['base', 'base']","['amidine', 'pyridine_N']"
CC(C)N(/C=[NH+]\c1ccn(C2CCC(CO)O2)c(=O)n1)C(C)C,5.28,5,base,"[5, 12]","['base', 'base']","['amidine', 'pyridine_N']"
CC(C)N(C1=[NH+]CCN1)c1c(Br)cccc1Br,11.2,13,base,"[13, 3]","['base', 'base']","['guanidine', 'aniline_tert']"
CC(C)N(c1ccc(Oc2ccccc2C(F)(F)F)cc1C(=O)[O-])C(=O)[C@H]1CC[C@H](C)CC1,5.5,32,acid,"[32, 9]","['acid', 'base']","['carboxylic_acid', 'aniline_tert']"
CC(C)N=C1NS(=O)(=O)c2cc(Cl)ccc2S1,9.76,5,acid,"[5, 3]","['acid', 'base']","['sulfonamide_2', 'amidine']"
CC(C)NC(=O)c1ccc(-c2ccc(-c3ccccc3)n2Cc2cccc(N)n2)cc1,6.86,23,base,"[23, 24]","['base', 'base']","['pyridine_N', 'aniline']"
CC(C)Oc1cccc2c1NC(=[NH+]CC(F)F)NC2C,10.2,10,base,"[10, 8]","['base', 'base']","['guanidine', 'aniline_sec']"
CC(C)Oc1noc2c1C[NH2+]CC2,7.5,11,base,"[11, 8]","['base', 'base']","['sec_amine', 'pyridine_N']"
CC(C)[C@@]12C[NH2+][C@@H](C(=O)[O-])[C@@H]1CC(=O)O2,7.8,5,base,"[14, 5]","['acid', 'base']","['carboxylic_acid', 'sec_amine']"
CC(C)[NH+](Cc1no[n+]([O-])c1C#N)C(C)C,5.35,3,base,"[3, 10]","['base', 'base']","['tert_amine', 'pyridine_N']"
CC(C)[NH+]1CCC(C(=O)Nc2cccc(OCc3ccc(F)cc3)c2)CC1,9.4,3,base,"[3, 11]","['base', 'base']","['tert_amine', 'aniline_sec']"
CC(C)[NH+]1CCC(N(C(=O)Cc2ccccc2)c2ccc(Cl)cc2)CC1,8.7,3,base,"[3, 9]","['base', 'base']","['tert_amine', 'aniline_tert']"
CC(C)[NH+]1CCC(Oc2cc3[nH]c(C(=O)N4CCOCC4)cc3cc2F)CC1,9.5,3,base,"[3, 22]","['base', 'base']","['tert_amine', 'morpholine_N']"
CC(C)[NH+]1CCC(Oc2ccc3[nH]c(C(=O)N4CCOCC4)cc3c2)CC1,10.0,3,base,"[3, 21]","['base', 'base']","['tert_amine', 'morpholine_N']"
CC(C)[NH+]1CCC(Oc2ccc3c(c2)cc(C(=O)N2CCOCC2)n3CC(F)(F)F)CC1,9.7,3,base,"[3, 26]","['base', 'base']","['tert_amine', 'morpholine_N']"
CC(C)[NH+]1CCC(Oc2ccc3cc(C(=O)N4CCOCC4)[nH]c3c2)CC1,9.7,3,base,"[3, 21]","['base', 'base']","['tert_amine', 'morpholine_N']"
CC(C)[NH+]1CCC(Oc2ccc3cc(C(=O)N4CCOCC4)ccc3c2)CC1,9.3,3,base,"[3, 22]","['base', 'base']","['tert_amine', 'morpholine_N']"
CC(C)[NH+]1CCC(Oc2ccc3nc(C(=O)N4CCC4)ccc3c2)CC1,9.5,3,base,"[3, 19]","['base', 'base']","['tert_amine', 'pyridine_N']"
CC(C)[NH+]1CCC(Oc2ccc3nc(C(=O)N4CCC[C@H]4C#N)ccc3c2)CC1,9.5,3,base,"[3, 19]","['base', 'base']","['tert_amine', 'pyridine_N']"
CC(C)c1cc(Nc2ccc(C#N)c(Cl)c2)ncc1C(=O)NCC1CCOCC1,6.02,6,base,"[6, 19]","['base', 'base']","['pyridine_N', 'aniline_sec']"
CC(C)c1cc(Nc2ccc(Cl)cc2Cl)ncc1C(=O)NCC1CCOCC1,6.02,6,base,"[6, 19]","['base', 'base']","['pyridine_N', 'aniline_sec']"
CC(C)c1cc(Nc2cccc(Br)c2)ncc1C(=O)NCC1CCOCC1,6.02,6,base,"[6, 19]","['base', 'base']","['pyridine_N', 'aniline_sec']"
CC(C)c1cc(Nc2cccc(C#N)c2)ncc1C(=O)NCC1CCOCC1,6.02,6,base,"[6, 19]","['base', 'base']","['pyridine_N', 'aniline_sec']"
CC(C)c1cc(Nc2cccc(C(F)(F)F)c2F)ncc1C(=O)NCC1CCOCC1,6.02,6,base,"[6, 19]","['base', 'base']","['pyridine_N', 'aniline_sec']"
CC(C)c1cc(Nc2cccc(Cl)c2)ncc1C(=O)NC1CCOCC1,6.02,6,base,"[6, 18]","['base', 'base']","['pyridine_N', 'aniline_sec']"
CC(C)c1cc(Nc2cccc(Cl)c2)ncc1C(=O)NCC(C)(C)C,6.02,6,base,"[6, 17]","['base', 'base']","['pyridine_N', 'aniline_sec']"
CC(C)c1cc(Nc2cccc(Cl)c2)ncc1C(=O)NCC1CCCC1,6.02,6,base,"[6, 18]","['base', 'base']","['pyridine_N', 'aniline_sec']"
CC(C)c1cc(Nc2cccc(Cl)c2)ncc1C(=O)NCC1CCOCC1,6.02,6,base,"[6, 19]","['base', 'base']","['pyridine_N', 'aniline_sec']"
CC(C)c1cc(Nc2cccc(Cl)c2)ncc1C(=O)NCc1ccc(F)cc1,6.02,6,base,"[6, 20]","['base', 'base']","['pyridine_N', 'aniline_sec']"
CC(C)c1cccc(C(C)C)c1NC1=[NH+]CCN1,10.65,11,base,"[11, 9]","['base', 'base']","['guanidine', 'aniline_sec']"
CC(C)c1ccccc1Nc1c2ccccc2nc2ccccc12,7.64,17,base,"[17, 9]","['base', 'base']","['pyridine_N', 'aniline_sec']"
CC(C)c1nc2ccccc2[nH]1,6.23,11,base,"[4, 11]","['acid', 'base']","['imidazole_NH', 'pyridine_N']"
CC(C)n1c(N)nc2ccc(/C(=C\C(N)=O)c3cccc(F)c3F)cc21,6.7,10,base,"[10, 12]","['base', 'base']","['pyridine_N', 'aniline']"
CC(CN1c2ccccc2CCc2ccccc21)C[NH+](C)C,8.72,19,base,"[19, 3]","['base', 'base']","['tert_amine', 'aniline_tert']"
CC(CN1c2ccccc2Sc2ccccc21)C[NH+](C)C,9.235,18,base,"[18, 3]","['base', 'base']","['tert_amine', 'aniline_tert']"
CC(CN1c2ccccc2Sc2ccccc21)[NH+](C)C,9.07,17,base,"[17, 3]","['base', 'base']","['tert_amine', 'aniline_tert']"
CC(N)=[NH+]c1nsc2ccccc12,6.99,2,base,"[2, 11]","['base', 'base']","['amidine', 'pyridine_N']"
CC(Nc1ccc2c(c1)[C@@H](NC(=O)c1ccc(Br)cc1)[C@H](O)C2)=[NH+]Cc1ccc(F)cc1,8.49,2,base,"[2, 11]","['base', 'base']","['amidine', 'aniline_sec']"
CC(Nc1ccc2c(c1)[C@@H](NC(=O)c1ccc(Br)cc1)[C@H](O)C2)=[NH+]c1ccc(F)cc1,8.2,2,base,"[2, 10]","['base', 'base']","['amidine', 'aniline_sec']"
CC(Nc1ccccc1)=[NH+]c1ccccc1,8.3,2,base,"[2, 9]","['base', 'base']","['amidine', 'aniline_sec']"
CC(O)=CC(=O)Nc1ccc(C)cc1,10.15,13,acid,"[13, 7]","['acid', 'base']","['enol', 'aniline_sec']"
CC(O)=CC(=O)Nc1cccc(C)c1,10.0,13,acid,"[13, 7]","['acid', 'base']","['enol', 'aniline_sec']"
CC(O)=CC(=O)Nc1ccccc1,9.94,12,acid,"[12, 5]","['acid', 'base']","['enol', 'aniline_sec']"
CC/C(N)=[NH+]/O,5.95,3,base,"[4, 3]","['acid', 'base']","['oxime', 'amidine']"
